TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Potential_Fraud,Cluster
777.88,31.0,17.0,1.0,6825.55,Debit,Houston,Branch,Engineer,False,0
119.18,56.0,96.0,1.0,5516.5,Debit,Los Angeles,Branch,Retired,False,2
177.19,76.0,43.0,1.0,5343.3,Debit,Chicago,Online,Retired,False,2
260.88,22.0,36.0,1.0,903.05,Debit,Denver,Branch,Student,False,1
169.47,24.0,18.999999999999996,1.0,1806.16,Debit,Chicago,Online,Student,False,1
73.23,26.0,14.0,1.0,787.7399999999999,Debit,Portland,Branch,Student,False,1
1362.55,29.0,106.0,1.0,2429.68,Debit,El Paso,ATM,Engineer,False,0
792.57,19.0,164.0,1.0,770.37,Debit,Baltimore,ATM,Student,False,1
237.06,71.0,45.99999999999999,1.0,1182.77,Debit,Phoenix,Online,Retired,False,2
34.17,54.0,53.99999999999999,1.0,726.55,Credit,Philadelphia,Online,Engineer,False,0
740.25,41.0,123.0,1.0,14464.3,Debit,Philadelphia,Online,Doctor,False,0
453.54,58.0,82.0,1.0,12046.3,Debit,Albuquerque,ATM,Doctor,False,0
300.47,73.0,100.00000000000001,1.0,7885.64,Debit,Jacksonville,Branch,Retired,False,2
110.93,19.0,201.0,1.0,1952.3499999999997,Credit,Virginia Beach,Branch,Student,False,1
201.69,59.0,299.0,1.0,7328.52,Debit,Las Vegas,ATM,Doctor,False,0
399.21,59.0,109.0,1.0,3210.39,Debit,Portland,ATM,Engineer,False,0
1041.88,78.0,57.0,1.0,5726.2,Debit,Jacksonville,Online,Retired,False,2
630.36,62.0,52.00000000000001,1.0,1363.65,Debit,Mesa,ATM,Retired,False,2
10.94,60.0,245.0,1.0,1241.99,Credit,Philadelphia,ATM,Engineer,False,0
215.9,38.0,235.0,1.0,7873.280000000001,Debit,Los Angeles,ATM,Doctor,False,0
1422.55,79.0,165.0,1.0,5674.32,Debit,Washington,Branch,Retired,False,2
226.37,49.0,141.0,1.0,9840.04,Credit,Louisville,Branch,Doctor,False,0
444.89,43.0,101.0,1.0,10328.23,Credit,Las Vegas,Branch,Doctor,False,0
280.57,25.0,24.0,1.0,293.24,Credit,Virginia Beach,Online,Student,False,1
488.54,52.0,132.0,1.0,7486.63,Debit,Jacksonville,Branch,Engineer,False,0
3.3,50.0,131.0,1.0,11385.37,Credit,Los Angeles,Branch,Doctor,False,0
199.39,69.0,165.0,1.0,7264.79,Debit,Colorado Springs,Branch,Retired,False,2
20.36,62.0,75.0,1.0,2762.48,Debit,Tucson,Branch,Retired,False,2
113.64,62.0,32.0,1.0,6675.03,Debit,Detroit,Online,Retired,False,2
493.11,53.0,236.0,1.0,7432.99,Debit,Colorado Springs,Branch,Retired,False,2
307.41,19.0,14.0,1.0,1057.0,Debit,Los Angeles,ATM,Student,False,1
11.18,43.0,161.0,1.0,5956.89,Debit,Atlanta,Online,Doctor,False,0
313.82,59.0,151.0,1.0,7261.59,Debit,Tucson,Branch,Engineer,False,0
51.0,64.0,107.0,1.0,4943.16,Debit,Seattle,Branch,Retired,False,2
140.98,60.0,100.00000000000001,1.0,8127.4800000000005,Debit,Memphis,Branch,Engineer,False,0
288.04,68.0,63.0,1.0,1748.02,Debit,Denver,ATM,Retired,False,2
800.55,31.0,107.99999999999999,1.0,9660.22,Debit,Oklahoma City,ATM,Engineer,True,0
485.54,46.0,143.0,1.0,6371.51,Debit,Houston,ATM,Engineer,False,0
521.15,54.0,214.0,1.0,9442.47,Debit,Kansas City,ATM,Doctor,False,0
321.79,63.0,61.00000000000001,1.0,5959.2,Credit,Raleigh,ATM,Retired,False,2
304.93,65.0,158.0,1.0,13531.22,Debit,Portland,ATM,Doctor,False,0
432.08,40.0,145.0,1.0,11500.62,Debit,El Paso,ATM,Doctor,False,0
694.2,61.0,72.0,1.0,1389.37,Debit,Milwaukee,ATM,Retired,False,2
116.86,55.0,171.0,1.0,6706.56,Debit,Louisville,ATM,Engineer,False,0
386.81,57.0,149.0,1.0,7175.29,Credit,Detroit,Online,Doctor,False,0
74.88,25.0,202.0,1.0,420.67,Debit,Atlanta,ATM,Student,False,1
195.76,75.0,99.0,1.0,7323.53,Debit,Philadelphia,Branch,Retired,False,2
134.7,50.0,106.0,1.0,8395.85,Debit,Fort Worth,ATM,Doctor,False,0
890.24,33.0,161.0,1.0,5140.93,Credit,Las Vegas,Online,Engineer,False,0
361.27,63.0,180.0,1.0,7945.57,Debit,Omaha,ATM,Doctor,False,0
131.56,44.0,42.00000000000001,1.0,5873.54,Debit,Charlotte,Branch,Doctor,False,0
485.51,76.0,37.0,1.0,3074.45,Credit,Milwaukee,Online,Retired,False,2
547.87,64.0,131.0,1.0,6155.76,Debit,Columbus,ATM,Retired,False,2
457.3,28.0,15.0,1.0,8318.29,Debit,Virginia Beach,Online,Engineer,False,0
506.24,58.0,64.0,1.0,230.09,Debit,Chicago,ATM,Engineer,False,0
486.59,57.0,119.0,1.0,2513.56,Debit,Indianapolis,Branch,Retired,False,2
163.68,41.0,292.0,1.0,10090.05,Debit,San Diego,Branch,Doctor,False,0
581.65,22.0,176.0,1.0,480.19000000000005,Debit,Boston,ATM,Student,False,1
52.01,48.0,85.0,1.0,1120.88,Debit,Mesa,ATM,Doctor,False,0
630.24,21.0,61.99999999999999,1.0,370.81,Debit,Boston,ATM,Student,False,1
523.74,43.0,159.0,1.0,13498.55,Debit,Oklahoma City,ATM,Doctor,True,0
705.6,40.0,123.99999999999999,3.0,14804.7,Debit,Phoenix,Branch,Doctor,False,0
217.5,46.0,35.0,1.0,3057.4,Credit,Denver,Branch,Engineer,False,0
91.48,51.0,141.0,1.0,14942.779999999999,Debit,Fort Worth,ATM,Doctor,False,0
5.25,39.0,49.0,1.0,14143.32,Debit,San Jose,ATM,Doctor,False,0
54.03,56.0,161.0,1.0,6736.3,Credit,Milwaukee,ATM,Retired,False,2
736.73,48.0,10.0,1.0,3313.07,Debit,Memphis,Branch,Engineer,False,0
368.91,54.0,14.0,1.0,829.7099999999999,Debit,Virginia Beach,Branch,Doctor,False,0
33.06,53.0,170.0,1.0,1540.87,Credit,Fort Worth,Online,Retired,False,2
66.5,32.0,144.0,1.0,6820.23,Credit,Louisville,Online,Engineer,False,0
177.08,35.0,85.0,1.0,13475.14,Debit,Las Vegas,Online,Doctor,False,0
588.54,32.0,130.0,1.0,714.4499999999999,Debit,Portland,Branch,Engineer,False,0
173.5,21.0,282.0,1.0,1306.91,Debit,Nashville,ATM,Student,False,1
78.33,56.0,189.0,1.0,7255.33,Credit,Memphis,Online,Engineer,False,0
40.66,59.0,156.0,1.0,1153.84,Debit,Louisville,Branch,Retired,False,2
97.22,77.0,55.0,1.0,6647.73,Credit,Atlanta,Branch,Retired,False,2
34.07,22.0,81.0,1.0,8709.77,Debit,Philadelphia,Branch,Student,False,1
492.06000000000006,23.0,74.0,1.0,857.9,Debit,Fresno,Online,Student,True,1
842.01,53.0,185.0,1.0,509.45000000000005,Credit,Virginia Beach,Online,Doctor,False,0
73.55,51.0,158.0,1.0,2812.06,Debit,Atlanta,ATM,Engineer,False,0
760.53,57.0,118.0,1.0,6179.91,Debit,Phoenix,Online,Engineer,False,0
273.08,26.0,134.0,1.0,6609.3,Credit,Houston,Branch,Engineer,False,0
371.69,67.0,143.0,1.0,3484.32,Debit,San Francisco,Branch,Retired,False,2
218.96,18.0,13.0,1.0,754.21,Debit,Seattle,ATM,Student,False,1
227.39,18.0,65.0,1.0,751.09,Debit,Atlanta,Online,Student,False,1
237.99,39.0,86.0,1.0,8510.09,Credit,Kansas City,Branch,Doctor,False,0
186.6,58.0,13.0,1.0,1508.72,Debit,Washington,Online,Doctor,False,0
341.15,18.0,148.0,1.0,511.36999999999995,Debit,San Jose,Online,Student,False,1
434.58,59.0,215.0,1.0,12648.32,Debit,Memphis,ATM,Doctor,False,0
312.88,54.0,44.0,1.0,233.21,Credit,Portland,Branch,Engineer,False,0
75.15,23.0,154.0,1.0,1092.92,Debit,Boston,ATM,Student,False,1
23.3,59.0,161.0,1.0,6711.15,Debit,Los Angeles,ATM,Engineer,False,0
47.38,25.0,61.00000000000001,1.0,459.37,Credit,Seattle,Online,Student,False,1
512.81,79.0,30.0,1.0,6994.34,Debit,Sacramento,Branch,Retired,False,2
488.15000000000003,43.0,168.00000000000003,1.0,7071.09,Debit,Louisville,Branch,Engineer,False,0
12.82,44.0,156.0,1.0,9045.19,Debit,Fort Worth,ATM,Engineer,False,0
66.9,79.0,129.0,4.0,5238.71,Credit,Charlotte,Online,Retired,False,2
535.91,43.0,22.0,1.0,9642.12,Debit,Las Vegas,Online,Engineer,False,0
270.72,26.0,53.00000000000001,1.0,6263.96,Credit,Washington,Online,Engineer,False,0
97.98,72.0,18.0,1.0,7460.329999999999,Debit,Denver,Branch,Retired,False,2
196.08,61.0,98.0,1.0,4233.82,Debit,San Francisco,Online,Retired,False,2
251.18000000000004,42.0,246.0,1.0,8303.9,Debit,San Jose,ATM,Engineer,False,0
44.52,28.0,205.0,1.0,314.28,Debit,El Paso,Online,Student,False,1
178.87,35.0,180.0,1.0,5241.23,Debit,Baltimore,Online,Doctor,False,0
1176.28,54.0,174.0,5.0,323.69,Credit,Kansas City,ATM,Engineer,False,0
386.68,46.0,128.0,1.0,6863.06,Debit,New York,Branch,Doctor,False,0
167.14,76.0,20.0,1.0,3877.7299999999996,Debit,Denver,Online,Retired,False,2
345.22,69.0,253.0,1.0,4046.5800000000004,Debit,Fresno,Branch,Retired,True,2
74.85,72.0,117.0,1.0,2409.73,Debit,Raleigh,ATM,Retired,False,2
671.73,58.0,53.99999999999999,1.0,5211.88,Debit,Washington,Branch,Engineer,False,0
255.03999999999996,45.0,151.99999999999997,1.0,6217.86,Debit,Seattle,ATM,Engineer,False,0
45.77,25.0,109.0,1.0,5978.12,Debit,Philadelphia,Online,Student,False,1
329.69,26.0,66.0,1.0,1671.66,Credit,San Antonio,Online,Student,False,1
362.04,58.0,198.0,2.0,8421.88,Credit,Philadelphia,Branch,Doctor,False,0
11.92,53.0,52.00000000000001,1.0,14611.9,Debit,San Diego,Branch,Doctor,False,0
47.42,64.0,28.0,1.0,8253.52,Debit,San Diego,ATM,Doctor,False,0
35.99,63.0,129.0,1.0,4489.79,Debit,Miami,Branch,Retired,False,2
151.19,37.0,96.0,1.0,11903.82,Credit,New York,Branch,Doctor,False,0
242.62,22.0,234.0,1.0,483.02000000000004,Credit,San Francisco,Online,Student,False,1
48.72,21.0,17.0,1.0,816.0799999999999,Debit,Virginia Beach,Branch,Student,False,1
43.46,25.0,80.0,1.0,578.06,Debit,Boston,ATM,Student,False,1
1036.21,25.0,126.0,1.0,477.3,Debit,Omaha,Online,Student,False,1
443.79,53.0,87.0,1.0,3133.85,Debit,Las Vegas,ATM,Retired,False,2
365.14,68.0,57.0,1.0,5894.09,Debit,Dallas,Online,Retired,False,2
757.41,22.0,37.0,1.0,9532.42,Debit,Los Angeles,ATM,Student,False,1
20.54,51.0,72.0,1.0,5327.03,Debit,Fort Worth,Branch,Engineer,False,0
475.36,34.0,105.0,1.0,2000.6,Debit,Phoenix,ATM,Engineer,False,0
34.74,56.0,24.0,1.0,6827.57,Debit,San Francisco,ATM,Retired,False,2
689.54,27.0,93.0,1.0,1633.76,Debit,Oklahoma City,Branch,Student,True,1
211.18,73.0,90.0,1.0,4069.1699999999996,Debit,Washington,ATM,Retired,False,2
211.36,51.0,286.0,1.0,7943.469999999999,Credit,Fort Worth,Branch,Engineer,False,0
744.41,39.0,107.0,1.0,8842.47,Credit,Houston,Online,Engineer,False,0
61.43,24.0,170.0,1.0,1882.77,Debit,Phoenix,Online,Student,False,1
167.44,37.0,82.0,1.0,12526.71,Debit,Mesa,Branch,Doctor,False,0
361.46,21.0,83.0,1.0,4737.84,Debit,Nashville,Online,Student,False,1
378.85,78.0,126.0,1.0,2300.53,Debit,Virginia Beach,Branch,Retired,False,2
241.10999999999999,30.0,55.0,1.0,12385.05,Debit,Columbus,Branch,Doctor,False,0
131.93,31.0,13.0,1.0,4547.06,Credit,Fort Worth,Branch,Engineer,False,0
20.28,36.0,213.0,1.0,2047.83,Debit,Oklahoma City,Online,Engineer,True,0
415.88,70.0,170.0,1.0,10008.33,Debit,San Diego,Branch,Doctor,False,0
49.99,62.0,139.0,1.0,2299.64,Debit,Omaha,ATM,Retired,False,2
1221.65,27.0,153.0,1.0,243.92,Debit,Denver,Online,Student,False,1
100.66,50.0,144.0,1.0,14473.33,Debit,Dallas,Branch,Doctor,False,0
485.54,19.0,148.0,1.0,1533.32,Debit,Louisville,Online,Student,False,1
321.15,46.0,179.0,1.0,7005.05,Debit,Los Angeles,Branch,Doctor,False,0
711.3,21.0,51.00000000000001,1.0,955.4,Debit,San Jose,Branch,Student,False,1
12.23,42.0,139.0,1.0,7844.880000000001,Debit,Houston,ATM,Engineer,False,0
